Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BFA,Burkina Faso,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
BGD,Bangladesh,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BGD,Bangladesh,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BGD,Bangladesh,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BGD,Bangladesh,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BGD,Bangladesh,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,Bangladesh,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BGD,Bangladesh,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BGR,Bulgaria,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BGR,Bulgaria,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BGR,Bulgaria,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BGR,Bulgaria,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BGR,Bulgaria,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,Bulgaria,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BGR,Bulgaria,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BHR,Bahrain,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BHR,Bahrain,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BHR,Bahrain,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BHR,Bahrain,28154,SIDS,Yes/No,,,,,,,,,,,,1,
BHR,Bahrain,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BHR,Bahrain,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BHR,Bahrain,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BHS,"Bahamas, The",28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BHS,"Bahamas, The",28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BHS,"Bahamas, The",28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BHS,"Bahamas, The",28154,SIDS,Yes/No,,,,,,,,,,,,1,
BHS,"Bahamas, The",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,"Bahamas, The",28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BHS,"Bahamas, The",28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BIH,Bosnia and Herzegovina,28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
BIH,Bosnia and Herzegovina,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BIH,Bosnia and Herzegovina,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
BIH,Bosnia and Herzegovina,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BIH,Bosnia and Herzegovina,28156,Is this country on the FCV list?,Value,0,0,0,0,1,1,1,1,1,1,1,0,0
BIH,Bosnia and Herzegovina,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BIH,Bosnia and Herzegovina,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BLR,Belarus,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BLR,Belarus,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BLR,Belarus,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BLR,Belarus,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BLR,Belarus,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,Belarus,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BLR,Belarus,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
BLZ,Belize,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BLZ,Belize,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BLZ,Belize,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BLZ,Belize,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BLZ,Belize,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,Belize,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BLZ,Belize,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BMU,Bermuda,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BMU,Bermuda,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BMU,Bermuda,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BMU,Bermuda,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BMU,Bermuda,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,Bermuda,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
