"country","project_code_in","component_code_in","section_code_in","cost_type","year","work_type","duration","length_km","cost_M_USD_per_km","rocks_wave","ccode","wb_region","inc_group","proj.component.section","project_country","project_idx","section_idx","section_code"
"Georgia","P094044","C1","S1","Actual","2012","Widening",28,24,2.88333333333333,"rocks_2018","GEO","Europe & Central Asia","Lower middle income","P094044 C1 S1","Georgia P094044",2257,2273,"22572273"
"Haiti","P095523","C1","S1","Actual","2014","Upgrading",NA,8,1.01,"rocks_2018","HTI","Latin America & Caribbean","Low income","P095523 C1 S1","Haiti P095523",2570,2285,"25702285"
"Haiti","P095523","C1","S1","Estimate","2006","Upgrading",NA,38.8,0.175257731958763,"rocks_2018","HTI","Latin America & Caribbean","Low income","P095523 C1 S1","Haiti P095523",2570,2285,"25702285"
"Honduras","P057538","C1","S1","Actual","2007","Strengthening",35,50,0.408,"rocks_2018","HND","Latin America & Caribbean","Lower middle income","P057538 C1 S1","Honduras P057538",2586,1875,"25861875"
"Honduras","P109058","C1","S1","Estimate","2008","Upgrading",NA,46.4,0.363577586206897,"rocks_2018","HND","Latin America & Caribbean","Lower middle income","P109058 C1 S1","Honduras P109058",2587,2354,"25872354"
"Honduras","P109058","C1","S1","Actual","2015","Upgrading",16,46.4,0.394396551724138,"rocks_2018","HND","Latin America & Caribbean","Lower middle income","P109058 C1 S1","Honduras P109058",2587,2354,"25872354"
"Honduras","P057538","C1","S1","Estimate","2000","Strengthening",NA,84,0.228571428571429,"rocks_2018","HND","Latin America & Caribbean","Lower middle income","P057538 C1 S1","Honduras P057538",2586,1875,"25861875"
"India","P077977","C1","S1","Actual","2012","Upgrading",24,984,0.0400565831440407,"rocks_2018","IND","South Asia","Lower middle income","P077977 C1 S1","India P077977",2710,2093,"27102093"
"India","P077977","C1","S1","Estimate","2004","Upgrading",12,672,0.0375555555555556,"rocks_2018","IND","South Asia","Lower middle income","P077977 C1 S1","India P077977",2710,2093,"27102093"
"India","P096023","C1","S1","Actual","2017","Partial Widening and Reconstruction",48,68,0.404505707288176,"rocks_2018","IND","South Asia","Lower middle income","P096023 C1 S1","India P096023",2711,2293,"27112293"
"India","P070421","C1","S1","Estimate","2001","Widening and Reconstruction",NA,76,0.217236842105263,"rocks_2018","IND","South Asia","Lower middle income","P070421 C1 S1","India P070421",2705,2001,"27052001"
"India","P096023","C1","S1","Estimate","2008","Partial Widening and Reconstruction",NA,68,0.473529411764706,"rocks_2018","IND","South Asia","Lower middle income","P096023 C1 S1","India P096023",2711,2293,"27112293"
"India","P050649","C1","S1","Actual","2012","Widening and Reconstruction",NA,378.6,0.352659005310642,"rocks_2018","IND","South Asia","Lower middle income","P050649 C1 S1","India P050649",2702,1851,"27021851"
"India","P009972","C1","S1","Actual","2008","Widening and Reconstruction",77,62,1.00217547943687,"rocks_2018","IND","South Asia","Lower middle income","P009972 C1 S1","India P009972",2701,1790,"27011790"
